"SECONDS";"PID";"VALUE";"UNITS";
"23507.9786353";"Presión absoluta en el colector de admisión";"2.1755660701050004";"psi";
"23507.9786353";"Sobrealimentación calculada";"-12.520382733473268";"psi";
"23508.3861689";"Consumo instantáneo de combustible (l/h)";"0.5837293821638245";"L/h";
"23508.3861689";"Potencia instantánea del motor (basada en el consumo de combustible)";"2.2836648642315507";"hp";
"23508.3861689";"Power from MAF";"2.088";"hp";
"23508.3861689";"Velocidad del flujo del aire MAF";"1.74";"g/sec";
"23508.5608467";"Presión absoluta en el colector de admisión";"2.320603808112";"psi";
"23508.5608467";"Sobrealimentación calculada";"-12.375344995466047";"psi";
"23508.7433908";"Presión barométrica absoluta";"13.633547372658";"psi";
"23509.0340027";"Combustible usado";"0.00010372626279004755";"L";
"23509.0340027";"Combustible usado (Hoy)";"0.000104";"L";
"23509.0340027";"Combustible usado (Semana)";"0.864322";"L";
"23509.0340027";"Combustible usado (total)";"2.6490889999999996";"L";
"23509.0340027";"Consumo instantáneo de combustible (l/h)";"0.5837293821638245";"L/h";
"23509.0340027";"Coste de combustible";"0.00010476352541794803";"€";
"23509.0340027";"Coste de combustible (Hoy)";"0.00010504";"€";
"23509.0340027";"Coste de combustible (Semana)";"0.8729652200000001";"€";
"23509.0340027";"Coste de combustible (total)";"2.67557989";"€";
"23509.0340027";"Potencia instantánea del motor (basada en el consumo de combustible)";"2.2836648642315507";"hp";
"23509.0340027";"Power from MAF";"2.088";"hp";
"23509.0340027";"Velocidad del flujo del aire MAF";"1.74";"g/sec";
"23509.2052839";"Presión absoluta en el colector de admisión";"2.320603808112";"psi";
"23509.2052839";"Sobrealimentación calculada";"-11.31294356456316";"psi";
"23509.4981421";"Combustible usado";"0.00018459962407976895";"L";
"23509.4981421";"Combustible usado (Hoy)";"0.000185";"L";
"23509.4981421";"Combustible usado (Semana)";"0.864403";"L";
"23509.4981421";"Combustible usado (total)";"2.64917";"L";
"23509.4981421";"Consumo instantáneo de combustible (l/h)";"0.6273413474979034";"L/h";
"23509.4981421";"Coste de combustible";"0.00018644562032056665";"€";
